title,body
John Fanning,"For Time
100 Double-Unders
80 Pull-Ups
60 Box Jumps (24/20 in)
40 Front Squats (135/95 lb)
20 Squat Cleans (135/95 lb)
10 Thrusters (135/95 lb)"
John Fischer,"AMRAP For As Long As Possible
Perform every 2 minutes:
1 Clean-and-Jerk (155/105 lb)
1 Burpee"
John Florio,"For Time
10 Bench Presses (75% BW)
10 Ring Dips
20 Bench Presses (50% BW)
20 Diamond Push-Ups
30 Bench Presses (35% BW)
30 Push-Ups"
John Ginley,"2 Rounds for Time
10 Push Presses (135/95 lb)
10 Back Squats (135/95 lb)
10 Cleans (135/95 lb)
10 Overhead Squats (135/95 lb)"
John Giordano,"For Time
37 Squat Cleans (185/135 lb)"
John Heffernan,"For Time
11 Squat Cleans (135/95 lb)
100 Double-Unders
11 Push Presses (135/95 lb)
75 Sit-Ups
11 Deadlifts (135/95 lb)
50 Pull-Ups"
John Lewis,"For Time
2 Rounds of:
21 Push-Ups
40 Sit-Ups

Directly into:
80 Single-Arm Overhead Walking Lunges (50/35 lb)

Then, 7 Rounds of:
17 Air Squats
20 Double-Unders

Finally:
80 Weighted Box Step-Ups (50/35 lb, 24/20 in)"
John Marshall,"5 Rounds for Time
3 Overhead Squats (155/105 lb)
6 Clean-and-Jerks (155/105 lb)
12 Bar Facing Burpees"
John Mc,"AMRAP in 35 minutes
Buy-In: 79 Pull-Ups

Then, AMRAP in remaining time of:
14 Alternating Dumbbell Snatches (50/35 lb)
200 meter Farmer's Carry (2x50/35 lb)
19 Burpee Box Jump Overs (24/20 in)"
John McAvoy,"3 Rounds for Time
5 Muscle-Ups
7 Bear Complexes (155/105 lb)
50 Double-Unders"
John Moran,"For Time
24-20-16-12-8-4 reps of:
Front Rack Lunges (135/95 lb)
Hand Release Push-Ups"
John Napolitano,"2 Rounds for Time
40 Pull-Ups
10 Back Squats (225/155 lb)
40 Wall Ball Shots (20/14 lb)
10 Deadlifts (225/155 lb)
40 Sit-Ups"
John Paolillo,"12-9-6-3 Reps for Time
Cleans (155/105 lb)
Pull-Ups
Deadlifts (155/105 lb)
Burpees"
John Santore,"For Time
50-40-30-20-10 reps of:
Double-Unders
Shoulder-to-Overheads (95/65 lb)"
John Schardt,"For Time
50 Power Snatches (75/45 lb)
50 Burpees
50 Overhead Squats (75/45 lb)
50 Sit-Ups
50 Thrusters (75/45 lb)"
John Stevenot,"Four 7-Minute AMRAPs in 34 minutes
From 0:00-7:00, 2 Rounds of:
13 Overhead Squats (95/65 lb)
13 Toes-to-Bars
Remaining Time:
Max Snatches (95/65 lb)

2 minutes Rest

From 9:00-16:00, 2 Rounds of:
13 Front Squats (95/65 lb)
13 Pull-Ups
Remaining Time:
Max Cleans (95/65 lb)

2 minutes Rest

From 18:00-25:00, 2 Rounds of:
7 Bar Muscle-Ups
13 Burpees
Remaining Time:
Max Snatches (135/85 lb)

2 minutes Rest

From 27:00-34:00, 2 Rounds of:
28 Push-Ups
28 calorie Row
Remaining Time:
Max Cleans (135/85 lb)"
John Strahan,"For Time
5 Rounds of:
33 Wall Ball Shots (20/14 lb)
18 Burpees

Buy-Out:
1982 meter Row"
John Tierney,"For Time
20 Push Presses + Front Squats + Thrusters (45/25 lb)
15 Push Presses + Front Squats + Thrusters (75/45 lb)
10 Push Presses + Front Squats + Thrusters (95/65 lb)
5 Push Presses + Front Squats + Thrusters (135/95 lb)"
John Tipping II,"4 Rounds for Time
15 Deadlifts (225/155 lb)
15 Box Jumps (24/20 in)
50 Double-Unders"
John Vigiano II,"5 Rounds for Time
10 Back Squats (225/155 lb)
40 Sit-Ups
40 Push-Ups"
John Weare,"For Time
605 meter Row

Then, 4 Rounds of:
10 Thrusters (95/65 lb)
10 Pull-Ups
10 Burpees

Time Cap: 5 minutes"
John Williamson,"EMOM for 36 minutes
From 0:00-6:00, EMOM of:
10 Pull-Ups

From 6:00-12:00, EMOM of:
5 Squat Cleans (155/105 lb)

From 12:00-18:00, EMOM of:
10 Toes-to-Bars

From 18:00-24:00, EMOM of:
5 Shoulder-to-Overheads (155/105 lb from the ground)

From 24:00-30:00, EMOM of:
10 Hand Release Push-Ups

From 30:00-36:00, EMOM of:
5 Overhead Squats (155/105 lb)"
John Wirka,"7 Rounds for Time
15 Pull-Ups
8 Deadlifts (225/155 lb)
25 4-count Flutter Kicks
25 meter Walking Lunges"
John's Will,"AMRAP in 30 minutes
30 Air Squats
20 Box Jumps (24/20 in)
32 meter Walking Lunges
20 Hand Release Push-Ups
15 Burpees
100 meter Run"
Johnny,"3 Rounds for Time (with a Partner)
Buy-In:
600 meter Run

19 calorie Row (each)
87 Erg Jump Overs
7 Rope Climbs

Cash-Out:
600 meter Run
1 Random Act of Kindness*

Time Cap: 3 months"
Johnny 232,"For Time
1 mile Weighted Run (20/14 lb Vest)
232 meter Row
23 Thrusters (95/65 lb)
32 Pull-Ups
232 Double-Unders
32 Wall Ball Shots (20/14 lb)
23 Burpees
232 meter Row
1 mile Weighted Run (20/14 lb Vest)"
Johnson,"AMRAP in 20 minutes
9 Deadlifts (245/165 lb)
8 Muscle-Ups
9 Squat Cleans (155/105 lb)"
Joker,"For Time
1-2-3-4-5-6-7-8-9-10 reps of:
Toes-to-Bars

10-9-8-7-6-5-4-3-2-1 reps of:
Deadlifts (225/155 lb)"
Jolly51,"For Time
200 meter Sprint
51 Pull-Ups
200 meter Sprint
51 Air Squats
200 meter Sprint
51 Push-Ups
200 meter Sprint
51 Box Jumps (24/20 in)
200 meter Sprint
51 Dips
200 meter Sprint
51 Sit-Ups
200 meter Sprint
51 Burpees
200 meter Sprint

Wear a Weight Vest (20/14 lb)"
Joly 51,"AMRAP in 29 minutes
3 Rope Climbs
3 Burpee Box Jump Overs (24/20 in)
3 Man Makers (35/25 lb)
15 Wall Ball Shots (20/14 lb)
15 Burpee Box Jump Overs (24/20 in)
15 Man Makers (35/25 lb)
18 calorie Row
18 Burpee Box Jump Overs (24/20 in)
18 Man Makers (35/25 lb)"
Jonah Lomu,"For Time
1975 meter Run
11 Sandbag Ground-to-Over-Shoulder (55/45 lb)
11 Thrusters (135/95 lb)
11 Handstand Push-Ups
11 Hang Squat Cleans (135/95 lb)
11 Chest-to-Bar Pull-Ups
11 Shoulder-to-Overheads (135/95 lb)
11 Back Squats (135/95 lb)
11 Power Cleans (135/95 lb)
37 Wall Ball Shots (20/14 lb)
40 Kettlebell Swings (1.5/1 Pood)"
Jonathan Holmann,"For Time
15 Strict Presses (80% of 1 rep max)
15 Push Presses (80% of 1 rep max)
15 Push Jerks (80% of 1 rep max)
1 rep max Strict Press"
Jonathan Ielpi,"2 Rounds for Time
44 Push Presses (65/45 lb)
22 Wall Ball Shots (20/14 lb)
11 Pull-Ups
11 Hand-Release Push-Ups"
Jonesworthy,"For Time
80 Air Squats
40 Kettlebell Swings (1.5/1 pood)
20 Pull-Ups
64 Air Squats
32 Kettlebell Swings (1.5/1 pood)
16 Pull-Ups
50 Air Squats
25 Kettlebell Swings (1.5/1 pood)
12 Pull-Ups
32 Air Squats
16 Kettlebell Swings (1.5/1 pood)
8 Pull-Ups
16 Air Squats
8 Kettlebell Swings (1.5/1 pood)
4 Pull-Ups
8 Air Squats
4 Kettlebell Swings (1.5/1 pood)
2 Pull-Ups"
Jonesy,"6 Rounds for Time
400 meter Run
6-5-4-3-2-1 Rope Climbs"
Jonno,"Three Parts For Time
3 Rounds of:
5 Hang Power Cleans (40/30 kg)
10 Push Presses (40/30 kg)
15 Back Squats (40/30 kg)
800 meter Run

3 Rounds of:
5 Overhead Squats (40/30 kg)
10 Sumo Deadlift High-Pulls (40/30 kg)
15 Front Squats (40/30 kg)
30 Ball Slams (30/20 lb)

3 Rounds of:
5 Power Cleans (40/30 kg)
10 Squat Cleans (40/30 kg)
15 Deadlifts (40/30 kg)
30 Box Jumps (24/20 in)"
Joost,"EMOM for 20 minutes
Minute 1: 6 Wall Ball Shots (9/6 kg) + 3 Bar Muscle-Ups
Minute 2: 12 Box Jumps (24/20 in)
Minute 3: 4 Power Snatches (55/40 kg) + 6 Overhead Squats (55/40 kg)
Minute 4: 10 Toes-to-Bars + 10 Knees-to-Elbows
Minute 5: 17 Push-Ups

Repeat 4 times"
Jordan,"For Time
100 Kettlebell Swings (24/16 kg)
100 Sit-Ups
100 Air Squats
100 Push-Ups"
Jordy's Goodbye,"For Time (with a Partner)
800 meter Farmer Carry (24/16kg)
100 Air Squats / Plank Hold
90 Pull-Ups / Superman Hold
80 Sit-Ups / Wall Sit Hold
70 Burpees / Hang Hold
60 Hand-Release Push-Ups / Handstand Hold
50 Buddy Deadlifts (100/70 kg)
400 meter Farmer Carry (24/16 kg)"
Jorge,"For Time
30 GHD Sit-Ups
15 Squat Cleans (155/105 lb)
24 GHD Sit-Ups
12 Squat Cleans (155/105 lb)
18 GHD Sit-Ups
9 Squat Cleans (155/105 lb)
12 GHD Sit-Ups
6 Squat Cleans (155/105 lb)
6 GHD Sit-Ups
3 Squat Cleans (155/105 lb)"
Jose Guadalupe,"For Time
54 Pull-Ups
54 Air Squats
54 Sit-Ups
54 Push-Ups"
José Luis Chavez,"5 Rounds for Time
20 Thrusters (95/65 lb)
20 Burpees Over Bar
29 Sit-Ups"
Joseph Agnello,"12-9-6-3 Reps For Time
Squat Cleans (155/105 lb)
Weighted Pull-Ups (45/25 lb)"
Joseph Angelini Jr.,"For Time
10 Shoulder-to-Overheads (185/135 lb)
20 Hand Release Push-Ups
15 Handstand Push-Ups
20 Shoulder-to-Overheads (135/95 lb)
15 Hand Release Push-Ups
10 Handstand Push-Ups
30 Shoulder-to-Overheads (75/55 lb)
10 Hand Release Push-Ups
5 Handstand Push-Ups"
Joseph Angelini Sr.,"For Time
20 Power Snatches (135/95 lb)
15 Clean-and-Jerks (225/155 lb)
10 Back Squats (315/225 lb)
5 Deadlifts (405/275 lb)"
Joseph Farrelly,"For Load
Accumulate 10,000 lbs with any combination of:
Cleans
Snatches
Overhead Squats"
Joseph Grzelak,"For Time
100 Kettlebell Swings (32/24 kg)

2 Burpees at the top of each minute"
Joseph Gullickson,"For Time
101 Ground-to-Overheads (75/45 lb)
101 Doble-Unders"
Joseph Henry,"3 Rounds for Time
Buy-In:
25 Burpees

Then, 3 Rounds of:
10 Hang Snatches (115/85 lb)
20 Hand Release Push-Ups
50 Double-Unders

Cash-Out:
25 Burpees"
Joseph Hunter,"EMOM For As Long As Possible
Death By Squats
1 Squat (70% of 1 Rep Max)
2 Squats (70% of 1 Rep Max)
3 Squats (70% of 1 Rep Max)"
Joseph Leavey,"For Time
8 Overhead Squats (135/95 lb)
20 Double-Unders
6 Overhead Squats (135/95 lb)
40 Double-Unders
4 Overhead Squats (135/95 lb)
60 Double-Unders
2 Overhead Squats 9135/95 lb)
80 Double-Unders"
Joseph Maffeo,"10 Rounds for Time
1 Clean-and-Jerk (185/135 lb)
3 Overhead Squats (185/135 lb)
5 Push Jerks (185/135 lb)"
Joseph Maloney,"For Time
200 meter Run
40 Wall Ball Shots (20/14 lb)
30 Knees-to-Elbows
20 Squat Cleans (135/95 lb)
400 meter Run
30 Wall Ball Shots (20/14 lb)
20 Knees-to-Elbows
10 Squat Cleans (135/95 lb)
800 meter Run
20 Wall Ball Shots (20/14 lb)
10 Knees-to-Elbows
5 Squat Cleans (135/95 lb)"
Joseph Marchbanks Jr.,"For Time
10-9-8-7-6-5-4-3-2-1 Reps of:
Alternating Dumbbell Snatches (75/45 lb)
Handstand Push-Ups"
Joseph Mascali,"12-9-6-3 Reps for Time
Back Squats (65% of BW)
Burpee Box Jumps
500 meter Row"
Joseph Ogren,"For Time
15 Deadlifts (155/105 lb)
30 Toes-to-Bars
30 Box Jumps (24/20 in)
10 Squat Cleans (155/105 lb)
20 Burpees
20 Double-Unders
5 Thrusters (155/105 lb)
10 Pull-Ups
10 Handstand Push-Ups"
Joseph Rivelli Jr.,"3 Rounds for Time
12 Deadlifts (275/205 lb)
24 Box Jumps (24/20 in)"
Joseph Spor,"10 Rounds for Time
1 Strict Press (135/95 lb)
2 Push Presses (135/95 lb)
3 Push Jerks (135/95 lb)
4 Handstand Push-Ups
10 Push-Ups"
Joseph Windall,"2 Rounds for Time
18 Deadlifts (90/60 kg)
400 meter Run
84 Air Squats"
Josephine Marie,"3 Rounds for Time
12 Power Cleans (135/95 lb)
22 Burpee Box Jumps Overs (24/20 in)"
Joseva,"15-12-9 Reps for Time
Bench Presses (bodyweight)
Deadlifts (bodyweight)
Power Cleans (bodyweight)"
Josh,"AMRAP in 32 minutes
2 Rounds of:
3 Man Makers (2x50/35 lb)
19 Kettlebell Swings (50/35 lb)
89 Single-Unders 

Rest 3 minutes

In the remaining time, AMRAP of:
800 meter Run
27 Wall Ball Shots  (20/14 lb)
20 calorie Row
21 Burpees"
Josh,"For Time
21 Overhead Squats (95/65 lb)
42 Pull-Ups
15 Overhead Squats (95/65 lb)
30 Pull-Ups
9 Overhead Squats (95/65 lb)
18 Pull-Ups"
Joshie,"3 Rounds for Time
21 Dumbbell Squat Snatches, Right Arm (40/25 lb)
21 L Pull-Ups
21 Dumbbell Squat Snatches, Left Arm (40/25 lb)
21 L Pull-Ups"
Joshua H. Reeves,"5 Rounds for Time
9 Toes-to-Bars
22 Alternating Dumbbell Snatches (55/35 lb)
7 Squat Cleans (135/95 lb)"
Josie,"For Time
1 mile Run

Then, 3 Rounds of:
30 Burpees
4 Power Cleans (155/105 lb)
6 Front Squats (155/105 lb)

Then, 1 mile Run

Wear a Weight Vest (20/14 lb)"
Jørgen Randrup,"3 Rounds for Time
30 Kettlebell Swings (24/16 kg)
15 Burpees
30 Deadlifts (80/60 kg)
15 Burpees
30 Jumping Lunges
15 Burpees
30 Pull-Ups
15 Burpees
100 meter Sprint"
JT,"21-15-9 Reps For Time
Handstand Push-Ups
Ring Dips
Push-Ups"
Judah Maccabee,"8 Rounds for Time
8 Hang Power Cleans (95/65 lb)
8 Front Squats (95/65 lb)
8 Push Presses (95/65 lb)
8 Burpees
8 Pull-Ups
8 Dips
8 Box Jumps (20 in)
8 Sit-Ups"
Julian Keen,"5 Rounds for Time
30 calorie Bike
6 Squat Cleans (155/120 lb)
14 Devil Presses (2x50/35 lb)
20 Double-Unders"
Juliana’s Angel Wings,"10 Rounds for Time (with a Partner)
8 Deadlifts (185/155 lb)
12 Alternating Dumbbell Hang Clean-and-Jerks (50/35 lb)
21 Wall Ball Shots (20/14 lb)

Every 3 minutes starting at 0:00, complete:
5 Synchronized Burpees

Cash-Out: 1,234 meter Row (each)"
Julie Tureson,"For Time
5,000 meter Run
82 Burpees

Rest 2 minutes

Then, 10 Rounds of:
7 Deadlifts (135/95 lb)
7 Push-Ups
7 Air Squats
7 Pull-Ups

Rest 2 minutes

Finally, 4 Rounds of:
22 Kettlebell Swings (1.5/1p)
16 Kettlebell Clean-and-Jerks (1.5/1p)"
Jump Around,"EMOM (with a Partner) for 15 minutes
Partner A: 8 Alternating Dumbbell Snatches (2x50/35 lb)
Partner B: 10 Dumbbell Overhead Strict Presses (2x50/35)

Partners alternate each minute.

After each 3 minutes perform:
50 Double-Unders (each, together)"
Juneteenth,"For Time
Buy-In: 65 second Moment of Silence

Then, 6 Rounds of:
400 meter Weighted Run (35/25 lb)
19 Dumbbell Hang Squat Cleans (2x35/25 lb)
18 Devil Presses (2x35/25 lb)
65 Russian Twists (35/25 lb)"
Just Breathe,"For Time
1,000 meter Row
1,000 meter Ski
2,000 meter Bike

Time Cap: 13 minutes"
Justice for George,"For Time
612 Walking Lunges
46 Burpees

Every 5 minutes, perform:
25 Air Squats
20 Push-Ups"
Justin,"For Time
30-25-20-15-10-5 reps of:
Calorie Ski Erg
Bench Presses (155/105 lb)
3 Rope Climbs (after each round)"
Justin,"30-20-10 Reps for Time
Back Squats (bodyweight)
Bench Presses (bodyweight)
Strict Pull-Ups"
Justin,"AMRAP in 23 minutes
1/2 mile Run
4 Deadlifts (275/185 lb)
17 Pull-Ups
90 Burpees
20 Box Jumps (24/20 in)
13 Hand Release Push-Ups

Buy-Out: 5 minutes to relax in the sun and reflect on the day"
Justin Walker,"5 Rounds for Time
22 Power Cleans (115/75 lb)
27 Box Jumps (24/20 in)
17 Toes-to-Bars"
K-WOD,"4 Rounds for Time:
400 meter Run
1 Rope Climb
39 Air Squats
27 Push-Ups"
K9 Chucky,"4 Rounds for Time
1 Deadlift (275/205 lb)
25 Kettlebell Swings (53/35 lb)
19 Box Jumps (24/20 in)
11 Burpees"
K9 Kitt,"21 Rounds for Time
6 Deadlifts (80/60 lb)
5 Hang Power Cleans (80/60 lb)
4 Front Squats (80 lb)
3 Shoulder-to-Overheads (80/60 lb)
200 foot Weighted Carry (80/60 lb)"
Kabul,"8 Rounds for Time
13 Deadlifts (155/105 lb)
13 AbMat Sit-Ups
13 Push-Ups
13 Pull-Ups
13 Kettlebell Swings (70/53 lb)
13 Dumbbell Box Step-Ups (2x25/15 lb, 20 in)
13 Burpees
13 Dumbbell Push Presses (2x25/15 lb)

Cash-Out: 2,200 meter Row"
Kabul 13,"13 Rounds for Time
21 8-Count Body Builders*
21 Push-Ups
21 Sandbag Box Step-Ups (75/35 lb, 24/20 in)
21 4-Count Mountain Climbers

*1 Body Builder:
1: Hands on The Ground
2: Feet Jump Back To Push Up Plank
3: Chest On The Ground (Bottom Push Up Position)
4: Back To Plank Position (Top Push Up Position)
5. Wide Stance (Like A Jumping Jack)
6. Narrow Stance (Back To Plank Position)
7. Feet Jump Forward to Hands
8. Stand Tall"
Kabul 13,"For Time
Buy-In: 2,021 meter Row

Then, 13 Rounds of:
8 Snatches (115/85 lb)
26 AbMat Sit-Ups"
Kabul 13,"13 Rounds for Time
13 calorie Air Bike
13 Medicine Ball Cleans (20/14 lb)
13 Box Jumps (24/20 in)"
Kahler,"For Time
1978 meter Run
7 Pull-Ups
24 Box Jumps (24/20 in)
1 Deadlift (65% of 1 RM)
26 Wall Ball Shots (20/14 lb)
173 Air Squats
2008 meter Medicine Ball Run (20/14 lb)"
Kalsu,"For Time
100 Thrusters (135/95 lb)

5 Burpees to start and at the top of every minute"
Karabel,"10 Rounds for Time
3 Power Snatches (135/95 lb)
15 Wall Ball Shots (20/14 lb)"
Karen,"For Time
150 Wall Ball Shots (20/14 lb, 10/9 ft)"
Karen + Johnny,"For Time
35 Pull-Ups
35 Burpees
35 Hang Power Cleans (115/75 lb)
35 Push Presses (115/75 lb)
35 Kettlebell Swings (53/35 lb)
35 Sit-Ups
35 Pull-Ups"
Karen Arnold,"For Time
150 Goblet Squats (53/35 lb)

Perform 5 Burpees at the top of each minute, starting at 0:00"
Karl Joseph,"21-15-9 Reps for Time
Push Presses (135/95 lb)
30 Box Jumps (24/20 in)
Overhead Squats (135/95 lb)"
KDF Heroes,"For Time

Cash In: 1,200 meter Run

4 Rounds of:
12 Box Jumps (24/20 in)
12 Crossovers
12 Front Squats (60/40 kg)

4 Rounds of:
12 Pull-Ups
12 Kettlebell Swings (24/16 kg)
12 Plate Ground-to-Overhead (20/15 kg)

4 Rounds of:
12 Lateral Burpees (over a line)
12 Hang Power Cleans (60/40 kg)
12 Sit-Ups

Buy Out: 1,200 meter Run"
Keaton & O'Dwyer,"For Time (with a Partner)
Buy-In: 400 meter Buddy Carry

Then, 2 Rounds of:
32 Partner Deadlifts (140/100 kg)
13 Synchro Hand Release Push-Ups
36 Partner Wall Ball Shots (9/6 kg) (alternating)
16 Synchro Burpees

Cash-Out: 400 meter Buddy Carry"
Keenan,"AMRAP in 19 minutes
20 Sandbag Squats (30/20 lb)
10 Sandbag Get-Ups (30/20 lb)
200 meter Sandbag Run (30/20 lb)
7 Burpees Over Sandbag"
Keith Glascoe,"For Time
21 Back Squats (135/95 lb)
400 meter Run
21 Front Squats (135/95 lb)
400 meter Run
21 Deadlifts (135/95 lb)
400 meter Run
21 Shoulder-to-Overheads (135/95 lb)
400 meter Run"
Keithroy Maynard,"5 Rounds for Time
44 Box Step-Ups (24/20 in)
12 Push-Ups
12 Air Squats*

*On the 5th round, do 15 Air Squats instead of 12

Wear a Weight Vest (20/14 lb)"
Kellam,"For Time (with a Partner)
Part A:
1 mile Run
30 Clean-and-Jerks (135/95 lb)
30 Bar Muscle-Ups

Part B:
100 calorie Air Bike
30 Burpees
9 Rope Climbs"
Kelly,"5 Rounds For Time
400 meter Run
30 Box Jumps (24/20 in)
30 Wall Ball Shots (20/14 lb)"
Kelly Brown,"5 Rounds for Time
440 meter Row
10 Box Jumps (30/24 in)
10 Deadlifts (275/185 lb)
10 Wall Ball Shots (30/20 lb, 10/9 ft)"
Ken Zink,"7 Rounds for Time
71 Double-Unders
14 Deadlifts (135/95 lb)
6 Hang Power Cleans (135/95 lb)
9 Front Squats (135/95 lb)"
Kendrick,"4 Rounds for Time
18 Thrusters (95/65 lb)
18 Chest-to-Bar Pull-Ups
18 Burpee Box Jumps (24/20 in)"
Kendrick,"AMRAP in 23 minutes of:
03 Devil's Press (2x50/35)
23 cal Echo Bike
03 Devil's Press
04 Double Dumbbell Box Step-Overs (2x50/35 lb, 24/20 in)
02 Devil's Press (2x50/35 lb)
03 Double Dumbbell Front Squats (2x50/35 lb)

Directly Into:
AMRAP in 18 minutes of:
08 Power Cleans (155/105 lb)
12 Pull-Ups
81 Double-Unders"
Kenneth Kumpel,"3 Rounds for Time
6 Bear Complexes (135/95 lb)
100 meter Bear Crawl"
Kenneth Marino,"3 Rounds for Time
5 Cleans (155/105 lb)
10 Burpees
5 Clean-and-Jerks (155/105 lb)
10 Wall Ball Shots (24/20 lb)"
Kenneth Phelan,"5 Rounds for Time
5 Deadlifts (155/105 lb)
5 Power Cleans (155/105 lb)
5 Front Squats (155/105 lb)
15 Burpees"
Kenneth Stavinoha,"5 Rounds for Time
30 second Assault Bike
20 Ball Slams (30/20 lb)
20 Alternating Lunges
20 Skull Crushers (70/40 lb)
20 Spiderman Push-Ups
20 Plank Shoulder Taps
30 second Row"
Kenneth Watson,"4 Rounds for Time
21 Pull-Ups
4 Clean-and-Jerks (225/155 lb)
21 Burpees
4 Back Squats (225/155 lb)"
Kent,"AMRAP in 28 minutes
15 Russian Kettlebell Swings (70/53 lb)
20 Box Jumps (24/20 in)
25 Dumbbell Hang Squat Cleans (50's/35's lb)
30 Burpees

From 12:00-13:00, Rest in silence"
Kerrie,"10 Rounds for Time
100 meter Sprint
5 Burpees
20 Sit-Ups
15 Push-Ups
100 meter Sprint

Rest 2 minutes

Wear a Weight Vest (20/14 lb)"
Kettle Bear 20,"2 Rounds for Time
20 Kettlebell Sumo Deadlift High Pulls (24/16 kg)
20 Double-Unders
20 Single-Arm Overhead Walking Lunges (24/16 kg)
20 Double-Unders
20 Alternating Kettlebell Snatches (24/16)
20 Double-Unders
20 Kettlebell Clean-and-Presses (24/16 kg)
20 Double-Unders
20 Kettlebell Swings (24/16 kg)
20 Double-Unders"
Kev,"AMRAP (with a Partner) in 26 minutes
6 Deadlifts (315/205 lb) (each)
9 Bar-Facing Burpees (synchronized)
9 Bar Muscle-Ups (each)
55 foot Partner Barbell Carry (315/205 lb)"
Kevin,"4 Rounds for Time
10 Kettlebell Swings (1.5/1 pood)
10 Push-Ups
10 Burpees
100 meter Run"
Kevin,"3 Rounds for Time
32 Deadlifts (185/135 lb)
32 Hanging Hip Touches (alternating arms)
800 meter Running Farmer Carry (15 lb dumbbells)"
Kevin A. Houston,"3 Rounds For Time
200 meter Run
50 meter Farmers Walk (2x35/25 lb sandbag)
10 Burpees
10 meter Bear Crawl (forward and backwards)
400 meter Run
100 meter Farmers Walk (2x35/25 lb sandbag, each hand)
20 Burpees
20 meter Bear Crawl (forward and backwards)
600 meter Run
150 meter Farmers Walk (2x35/25 lb sandbag, each hand)
30 Burpees
30 meter Bear Crawl (forward and backwards)

Wear a weight vest (20/14 lb) (except during the run)"
Kevin Bracken,"For Time (with a Partner)
Deadlift Hold (135 lb)
40 Air Squats

Back Squat Hold (135 lb)
40 Sit-Ups

Plank Hold
40 Push-Ups

Deep Squat Hold
40 Burpees"
Kevin Conner,"For Time
Buy-In: 551 meter Medicine Ball Carry (20/14 lb)

10 Rounds of:
10 Hand Release Push-Ups
17 Air Squats
18 Kettlebell Swings (53/35 lb)

Cash-Out: 551 meter Medicine Ball Carry (20/14 lb)

Wear a Weight Vest (20/14 lb)"
Kevin Donnelly,"For Time
20 Squat Cleans (135/95 lb)
2000 meter Row
20 Clean-and-Jerks (135/95 lb)"
Kevin Dowdell,"For Time
400 meter Run
40 Double Unders
400 meter Run
40 Thrusters (45/35 lb)
400 meter Run
40 Box Jumps (24/20 in)
400 meter Run
40 Toes-to-Bars
400 meter Run
40 Overhead Squats (45/35 lb)"
Kevin O'Rourke,"EMOM for 10 minutes
2 Front Squats (225/155 lb)
5 Burpee Box Jumps (24/20 in)"
Kevin Pfeifer,"5 Rounds for Time
50 Double-Unders
15 Hang Power Cleans (95/65 lb)
10 Pull-Ups
5 Handstand Push-Ups"
Kevin Prior,"3 Rounds for Time
20 Hang Power Cleans (115/75 lb)
20 Toes-to-Bars
400 meter Run"
Kevin Pryor,"3 Rounds for Time
1000 meter Row
21 Push-Ups
100 meter Sled Drag
15 L Pull-Ups
100 meter Sled Drag
9 Kettlebell Swings (1.5 pood)
1 Rope Climb"
Kevin Reilly,"EMOM for 12 minutes
Odd Minutes:
5 Push Presses (155/105 lb)

Even Minutes:
5 Deadlifts (155/105 lb)"
Kevin Smith,"For Time
30 Snatches (155/105 lb)"
Kevin Tonn,"10 Rounds for Time
100 meter Run
15 Shoulder-to-Overheads (95/65 lb)
13 Push-Ups
35 Sit-Ups
11 Thrusters (95/65 lb)
9 Burpees"
KHBT,"AMRAP in 20 minutes 19 seconds
Buy-In: 200 meter Single-Arm Kettlebell Front Rack Walk (20/15 kg)

Then, AMRAP in remaining time of:
9 Chest-to-Bar Pull-Ups
2 Snatches (61/43 kg)
10 Bar Over Burpees
5 Dumbbell Power Cleans (2x22.5/15 kg)"
Khodanour,"For Time
Part A:
10 Rounds of:
27 Unbroken Double-Unders
2 Legless Rope Climbs (15 ft)

Rest 2 minutes

Part B:
For As Long As Possible, complete:
30 second Hollow Rock
10 second Rest

Part B is done when athlete is unable to rock for 30 seconds without breaking."
Kiana,"4 Rounds for Time
2 Squat Cleans (185/125 lb)
15 Push-Ups
99 Double-Unders
12 Sit-Ups
23 Deadlifts (185/125 lb)
13 Box Jumps (24/20 in)"
Kilino Jo,"For Time (in a Team of 3):
Buy In:
1997 meter Row

Then, 4 Rounds of:
16 Deadball Over Bar (chest height) (50/35 kg)
13 Rope Climbs
29 Deadball Bear Hug Squats
24 Clean & Jerks (60/40kg)

Cash Out:
2017 m Deadball March*

*Carry 2 Deadballs per team:
Males: 1 x 40kg and 1 x 20kg
Females: 1 x 30kg and 1 x 20kg"
Kill the Thruster,"EMOM For As Long As Possible
From 0:00-1:00:
100 meter Row
1 Thruster (42.5/30 kg)

From 1:00-2:00:
100 meter Row
2 Thrusters (42.5/30 kg)

From 2:00-3:00:
100 meter Row
3 Thrusters (42.5/30 kg)

Continue adding one thruster every minute"
Killer Elite,"7 Rounds for Time
400 meter Run
24 Pull-Ups
24 Dips
34 Crunches
9 Burpees"
King Kettlebell,"5 Rounds for Time
15 Kettlebell Swings (70/53 lb)
10 Lunges
15 calorie Assault Air Bike
10 Push-Ups
15 Sit-Ups
10 Kettlebell Sumo Deadlift High-Pulls (70/53 lb)"
King Kong,"3 Rounds For Time
1 Deadlift (455/320 lb)
2 Muscle-Ups
3 Squat Cleans (250/175 lb)
4 Handstand Push Ups"
King Snatch,"5 Rounds for Time
Chest-to-Bar Pull-Ups
10 Power Snatches
15 calorie Assault Air Bike
20 AbMat Sit-Ups
25 Single-Unders"
